pokemon_id,pokemon_name,move_id,move_name,learn_method,level_learned_at,source_version_group
1,Bulbasaur,22,Vine Whip,level-up,3,sword-shield
1,Bulbasaur,33,Tackle,level-up,1,brilliant-diamond-shining-pearl
1,Bulbasaur,36,Take Down,level-up,15,diamond-pearl
1,Bulbasaur,38,Double-Edge,level-up,27,diamond-pearl
1,Bulbasaur,75,Razor Leaf,level-up,12,sword-shield
1,Bulbasaur,76,Solar Beam,level-up,36,sword-shield
1,Bulbasaur,402,Seed Bomb,level-up,18,sword-shield
1,Bulbasaur,438,Power Whip,level-up,33,scarlet-violet
2,Ivysaur,22,Vine Whip,level-up,1,brilliant-diamond-shining-pearl
2,Ivysaur,33,Tackle,level-up,1,brilliant-diamond-shining-pearl
2,Ivysaur,36,Take Down,level-up,15,diamond-pearl
2,Ivysaur,38,Double-Edge,level-up,31,diamond-pearl
2,Ivysaur,75,Razor Leaf,level-up,12,sword-shield
2,Ivysaur,76,Solar Beam,level-up,44,diamond-pearl
2,Ivysaur,402,Seed Bomb,level-up,20,sword-shield
2,Ivysaur,438,Power Whip,level-up,45,scarlet-violet
3,Venusaur,22,Vine Whip,level-up,1,lets-go-pikachu-lets-go-eevee
3,Venusaur,33,Tackle,level-up,1,brilliant-diamond-shining-pearl
3,Venusaur,36,Take Down,level-up,15,diamond-pearl
3,Venusaur,38,Double-Edge,level-up,31,diamond-pearl
3,Venusaur,75,Razor Leaf,level-up,12,sword-shield
3,Venusaur,76,Solar Beam,level-up,53,diamond-pearl
3,Venusaur,80,Petal Dance,level-up,0,sun-moon
3,Venusaur,402,Seed Bomb,level-up,20,sword-shield
3,Venusaur,438,Power Whip,level-up,1,lets-go-pikachu-lets-go-eevee
3,Venusaur,572,Petal Blizzard,level-up,0,sword-shield
4,Charmander,10,Scratch,level-up,1,brilliant-diamond-shining-pearl
4,Charmander,52,Ember,level-up,4,sword-shield
4,Charmander,53,Flamethrower,level-up,24,sword-shield
4,Charmander,83,Fire Spin,level-up,27,lets-go-pikachu-lets-go-eevee
4,Charmander,99,Rage,level-up,19,gold-silver
